"admin_id","1","2","3","4","5","6","7","8","9","10","11","12","admin_name","ctry_id","ctry_name"
515,0.011006046,0.000837622,0.000906172,0.003120376,0.005103547,0.025964202,0.109461163,0.177373953,0.275275399,0.210822893,0.110084003,0.070044626,"Kampong Cham",40,"Cambodia"
516,0.000144288,2.69e-05,0.000508822,0.001420525,0.002140971,0.003253277,0.012905911,0.074173416,0.185006461,0.284976182,0.299042886,0.136400336,"Kampong Chhnang",40,"Cambodia"
517,0.000164351,0.000344453,0.001373485,0.002473723,0.010186942,0.037942267,0.06050537,0.110090661,0.167086454,0.196090463,0.265359605,0.148382225,"Kampong Spoe",40,"Cambodia"
518,0.000287385,1.23e-07,0.000326529,0.001046601,0.001697118,0.010205941,0.065699241,0.179427627,0.269707591,0.311405217,0.146365034,0.013831592,"Kampong Thum",40,"Cambodia"
519,0.000123151,0.000136062,0.000941027,0.002192386,0.032859935,0.152431871,0.248705898,0.355459139,0.193741961,0.012041587,0.000891877,0.000475106,"Kampot",40,"Cambodia"
520,0.001193229,6.78e-06,0.00350715,0.010726489,0.014774082,0.028739759,0.071454474,0.115688603,0.218913364,0.218383505,0.202356054,0.114256507,"Kandal",40,"Cambodia"
521,0.000511182,0.003256557,0.010776006,0.0144304,0.04427137,0.140352854,0.21284538,0.308426431,0.176930758,0.040168698,0.034798243,0.013232122,"Kaoh Kong",40,"Cambodia"
522,6.06e-05,0,0.000612054,0.001871437,0.034199062,0.159352877,0.254215281,0.362057391,0.184967303,0.001658884,0.000777041,0.000228085,"Keb",40,"Cambodia"
523,0.000106995,3.95e-06,1.46e-05,0.002880676,0.010567454,0.043693104,0.169251885,0.252467303,0.333985081,0.184879915,0.001384169,0.000764908,"Kracheh",40,"Cambodia"
524,0.001585543,0.000123744,7.35e-05,0.007882424,0.02429879,0.058391908,0.176800249,0.24318429,0.308995809,0.171744324,0.003619453,0.003299955,"Mondol Kiri",40,"Cambodia"
525,9.34e-06,0,0.001510239,0.004636582,0.006415679,0.018248697,0.081246537,0.193203744,0.27879998,0.297928753,0.117636672,0.000363778,"Otdar Mean Choay",40,"Cambodia"
526,0.000204285,0.003456769,0.017950215,0.03420834,0.046049555,0.045167595,0.054600151,0.14080909,0.203306649,0.297783278,0.15373118,0.002732893,"Pailin",40,"Cambodia"
527,0.007827714,2.22e-06,0.002693114,0.008236757,0.011344846,0.013662524,0.010199586,0.032902381,0.147075949,0.240423819,0.332231913,0.193399177,"Phnum Penh",40,"Cambodia"
528,0.00017644,0.001702318,0.006413841,0.009721485,0.014651654,0.019902921,0.046964445,0.159491017,0.227224579,0.317673863,0.179839189,0.016238247,"Pouthisat",40,"Cambodia"
529,4.81e-05,0.00035361,0.001246174,0.001756835,0.034052196,0.158707191,0.25365695,0.362564991,0.18528574,0.000914638,0.000917063,0.000496545,"Preah Seihanu",40,"Cambodia"
530,0.000110195,0,0.001173705,0.004101727,0.007231001,0.022300902,0.092549102,0.200022815,0.283020022,0.281229886,0.105311922,0.002948724,"Preah Vihear",40,"Cambodia"
531,5.67e-05,1.73e-07,0.000343154,0.00117657,0.001867379,0.029263979,0.145399129,0.23251109,0.332302847,0.202732903,0.034942726,0.019403384,"Prey Veng",40,"Cambodia"
532,0.00285061,0.000551337,0.00012338,0.003048638,0.009187426,0.040965167,0.164504085,0.246402626,0.332241874,0.188565261,0.006026146,0.005533449,"Rotanokiri",40,"Cambodia"
533,8.54e-05,3.48e-07,0.001478422,0.004495333,0.006207584,0.007604693,0.037843843,0.162260321,0.243983909,0.354352545,0.180524078,0.001163523,"Siem Reab",40,"Cambodia"
534,0.000174946,3.32e-06,0,0.002075991,0.007775654,0.039706793,0.16354921,0.248271679,0.33466448,0.189429968,0.009166673,0.005181283,"Stoeng Treng",40,"Cambodia"
535,7.63e-06,0,1.76e-07,6.86e-05,0.000225405,0.03042802,0.160543161,0.255417521,0.35375663,0.198802472,0.000632147,0.000118209,"Svay Rieng",40,"Cambodia"
536,3.46e-05,1.79e-08,6.37e-05,0.000194131,0.002492144,0.037158475,0.155298178,0.246557736,0.327940139,0.189072187,0.026478131,0.014710564,"Takev",40,"Cambodia"
845,0.030316868,0.054880412,0.099085028,0.184302288,0.226795188,0.254898183,0.133755394,0.000925734,4.05e-05,0.000934753,0.003815398,0.010250263,"Azuay",68,"Ecuador"
846,0.105082035,0.126948632,0.162227938,0.178959343,0.182504392,0.098710892,0.018247686,0.002814874,0.001217874,0.014277772,0.040427503,0.06858106,"Bolivar",68,"Ecuador"
847,0.035500937,0.081552977,0.142054249,0.21396619,0.220946641,0.204317467,0.096687881,0.000194468,2.69e-06,3.61e-05,0.000111128,0.004629315,"Cañar",68,"Ecuador"
848,0.037374397,0.044028934,0.045536923,0.038596225,0.046638935,0.087267673,0.145845368,0.190292024,0.188003798,0.111891697,0.037791064,0.026732962,"Carchi",68,"Ecuador"
849,0.108733495,0.126183623,0.149269306,0.158093104,0.129198991,0.061326121,0.018691685,0.024687863,0.038251304,0.05560395,0.058472894,0.071487664,"Chimborazo",68,"Ecuador"
850,0.066340391,0.072715883,0.119235793,0.141868813,0.175421152,0.10186558,0.028588364,0.048493718,0.061115611,0.066344664,0.056752286,0.061257746,"Cotopaxi",68,"Ecuador"
851,0.009399166,0.024400126,0.065261256,0.17375191,0.247016142,0.305345915,0.168731746,0.004368779,6.78e-05,9.93e-05,0.000406187,0.001151668,"El Oro",68,"Ecuador"
852,0.02645274,0.086113389,0.136734501,0.185063386,0.148802894,0.077533061,0.073149781,0.096240535,0.094812715,0.057319595,0.015591705,0.002185697,"Esmeraldas",68,"Ecuador"
853,0,0,0,0,0,0,0,0,0,0,0,0,"Galapagos",68,"Ecuador"
854,0.011998934,0.045624303,0.136673924,0.221485159,0.300173699,0.219753008,0.059418637,0.004202192,6.66e-05,0,5.55e-06,0.000598013,"Guayas",68,"Ecuador"
855,0.018181156,0.03371906,0.064203159,0.09969226,0.12102267,0.122311147,0.132800919,0.144875149,0.130650893,0.084707852,0.034582262,0.013253475,"Imbabura",68,"Ecuador"
856,0.015539465,0.03725289,0.057769192,0.091991449,0.175723163,0.204190705,0.270762716,0.145210721,3.64e-05,7.08e-05,9.48e-05,0.001357651,"Loja",68,"Ecuador"
857,0.015746179,0.057468948,0.148543248,0.22719771,0.290894902,0.19288262,0.052342956,0.010941582,0.001689606,0.000994733,0.000575702,0.000721815,"Los Rios",68,"Ecuador"
858,0.017786722,0.075006623,0.183885242,0.259162432,0.30230083,0.148296335,0.006913918,0.003584642,0.001423366,0.000877198,0.000411656,0.000351035,"Manabi",68,"Ecuador"
859,0.03544701,0.026407619,0.034156317,0.038564797,0.036726059,0.032499932,0.050021112,0.118192051,0.170759979,0.225857174,0.161876206,0.069491742,"Morona Santiago",68,"Ecuador"
860,0.02408867,0.004105107,0.001652827,0.003734469,0.025826717,0.057107704,0.110161421,0.173724428,0.184962323,0.193092434,0.145598815,0.075945086,"Napo",68,"Ecuador"
861,0.065728383,7.34e-06,0,0.000537822,0.002299938,0.005457169,0.010945156,0.065439078,0.170381008,0.225820584,0.262491495,0.190892026,"Orellana",68,"Ecuador"
862,0.042093393,0.000210994,8.37e-07,2.14e-05,0.015659569,0.046154415,0.087122383,0.144634946,0.178588243,0.179924779,0.180787288,0.124801758,"Pastaza",68,"Ecuador"
863,0.034727789,0.068911925,0.098770268,0.110528795,0.087486745,0.066162247,0.096153745,0.138364235,0.149480148,0.099219436,0.034045811,0.016148854,"Pichincha",68,"Ecuador"
864,0.010026353,0.049284268,0.165389124,0.2412026,0.335099103,0.190645721,0.006213248,0.001723814,0,0,0,0.000415769,"Santa Elena",68,"Ecuador"
865,0.026217577,0.09041992,0.155759272,0.207200337,0.174175264,0.072010244,0.046838613,0.072702622,0.080245137,0.056410634,0.016549739,0.00147064,"Santo Domingo De Los Tsachilas",68,"Ecuador"
866,0.042471775,0.006372447,0.004232329,0.003342738,0.00531173,0.017884621,0.046351655,0.107722863,0.186960629,0.221196315,0.219915873,0.138237024,"Sucumbios",68,"Ecuador"
